transaction_id,timestamp,employee_id,amount,department
1,2022-01-01 08:00:00,1001,5000,Finance
2,2022-01-02 09:15:00,1002,3000,Finance
3,2022-01-03 14:30:00,1003,2500,Finance
4,2022-01-04 10:45:00,1004,7000,Finance
5,2022-01-05 12:20:00,1005,6000,Finance
6,2022-01-01 08:30:00,2001,1500,HR
7,2022-01-02 09:45:00,2002,1800,HR
8,2022-01-03 15:00:00,2003,2100,HR
9,2022-01-04 11:00:00,2004,1900,HR
10,2022-01-05 12:45:00,2005,2200,HR
11,2022-01-01 08:45:00,3001,3000,Marketing
12,2022-01-02 10:00:00,3002,3200,Marketing
13,2022-01-03 16:30:00,3003,3500,Marketing
14,2022-01-04 11:15:00,3004,3400,Marketing
15,2022-01-05 13:00:00,3005,3600,Marketing
16,2022-01-01 09:00:00,4001,5000,Sales
17,2022-01-02 10:15:00,4002,5200,Sales
18,2022-01-03 17:00:00,4003,5500,Sales
19,2022-01-04 11:30:00,4004,5300,Sales
20,2022-01-05 13:15:00,4005,5600,Sales